醫事機構代碼,醫事機構名稱,醫事機構種類,電話,地址,分區業務組,特約類別,服務項目,診療科別,終止合約或歇業日期,固定看診時段,備註,縣市別代碼,合約起日
1101150011,新光醫療財團法人新光吳火獅紀念醫院,綜合醫院,(02)28332211,臺北市士林區文昌路９５號及士商路５１號１至７樓５３、５５號,臺北業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,精神病患者居家照護,胸部低劑量電腦斷層檢查,精神科日間住院治療,結核病","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,牙體復形科,牙髓病科,牙周病科,贋復補綴牙科,齒顎矯正科,口腔顎面外科,家庭牙醫科,特殊需求者口腔醫學科,中醫一般科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上休診、星期六晚上休診、星期日晚上休診,自108年6月1日起門診掛號費調為180元、12月2日起夜間及周六門診掛號費調為200元；急診掛號費調為330元。,63000,19950301
1131010011,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,綜合醫院,(02)89667000,新北市板橋區南雅南路２段２１號及高爾富路３００號,臺北業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,精神病患者居家照護,胸部低劑量電腦斷層檢查,精神科日間住院治療,結核病","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,牙周病科,齒顎矯正科,口腔顎面外科,口腔病理科,家庭牙醫科,特殊需求者口腔醫學科,中醫一般科,麻醉科,放射線科,病理科,核子醫學科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,19950301
1131050515,佛教慈濟醫療財團法人台北慈濟醫院,綜合醫院,(02)66289779,新北市新店區建國路２８９號,臺北業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,精神病患者居家照護,胸部低劑量電腦斷層檢查,精神科日間住院治療,結核病","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,牙周病科,齒顎矯正科,口腔顎面外科,家庭牙醫科,特殊需求者口腔醫學科,中醫一般科,麻醉科,放射線科,病理科,核子醫學科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,急診提供24小時服務。,65000,20050508
1131100010,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,綜合醫院,(02)28094661,新北市淡水區民生路４５號、民權路４７號B１至１０樓,臺北業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,精神病患者居家照護,胸部低劑量電腦斷層檢查,精神科日間住院治療","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,牙髓病科,牙周病科,贋復補綴牙科,齒顎矯正科,口腔顎面外科,家庭牙醫科,中醫一般科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上休診、星期三晚上看診、星期四晚上休診、星期五晚上看診、星期六晚上休診、星期日晚上休診,24小時急診服務；每週一、三、五提供中醫夜診,65000,19950301
1132070011,長庚醫療財團法人林口長庚紀念醫院,綜合醫院,(03)3281200,桃園市龜山區公西里復興街５號、５之７號及文化一路１５號,北區業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,復健－聽力檢查業務,復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,居家照護,分娩,精神病患者居家照護,胸部低劑量電腦斷層檢查,精神科日間住院治療,腹膜透析業務","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,齒顎矯正科,兒童牙科,口腔顎面外科,口腔病理科,特殊需求者口腔醫學科,中醫一般科,麻醉科,放射線科,病理科,核子醫學科,放射腫瘤科,解剖病理科,臨床病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,急診全年無休，門診開診日及開診科別依本院門診表公告為準。,68000,19950301
1137010024,彰化基督教醫療財團法人彰化基督教醫院,綜合醫院,(04)7238595,彰化縣彰化市南校街135號、中華路176號、旭光路235、320號,中區業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,精神病患者居家照護,義肢業務,胸部低劑量電腦斷層檢查,精神科日間住院治療,腹膜透析業務","不分科,家醫科,內科,外科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,急診醫學科,牙科,牙髓病科,牙周病科,齒顎矯正科,家庭牙醫科,中醫一般科,麻醉科,放射線科,病理科,核子醫學科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,星期一至星期日提供24小時急診,10007,19961201
1137010042,彰化基督教醫療財團法人彰化基督教兒童醫院,綜合醫院,(04)7238595,彰化縣彰化市光南里１３鄰旭光路３２０號、南校街１３５號,中區業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療","外科,兒科,骨科,神經外科,泌尿科,耳鼻喉科,皮膚科,精神科,復健科,牙科,兒童牙科,麻醉科,放射線科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,星期一至星期日提供24小時急診,10007,20140904
1141310019,奇美醫療財團法人奇美醫院,綜合醫院,(06)2812811,臺南市永康區中華路９０１號、臺南市南區樹林街二段４４２號,南區業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,精神病患者居家照護,義肢業務,胸部低劑量電腦斷層檢查,精神科日間住院治療,腹膜透析業務","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,牙髓病科,牙周病科,贋復補綴牙科,齒顎矯正科,口腔顎面外科,家庭牙醫科,中醫一般科,麻醉科,放射線科,病理科,核子醫學科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,10021,19950301
1142100017,長庚醫療財團法人高雄長庚紀念醫院,綜合醫院,(07)7317123,高雄市鳥松區大埤路１２３號,高屏業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,精神病患者居家照護,義肢業務,胸部低劑量電腦斷層檢查,精神科日間住院治療,腹膜透析業務","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,牙體復形科,牙髓病科,齒顎矯正科,兒童牙科,口腔顎面外科,口腔病理科,中醫一般科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,本院急診室提供全天24小時急診醫療服務,64000,19950301
1145010010,佛教慈濟醫療財團法人花蓮慈濟醫院,綜合醫院,(03)8561825,花蓮縣花蓮市中央路３段７０７號,東區業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,復健－聽力語言治療業務,住院安寧療護,安寧居家療護(甲類),急診業務,門診診療,住院診療,血液透析,分娩,精神病患者居家照護,胸部低劑量電腦斷層檢查,精神科日間住院治療,腹膜透析業務","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,牙髓病科,牙周病科,贋復補綴牙科,齒顎矯正科,兒童牙科,口腔顎面外科,口腔病理科,家庭牙醫科,特殊需求者口腔醫學科,中醫一般科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,急診24小時服務,10015,19950301
1301200010,臺北市立萬芳醫院－委託臺北醫學大學辦理,綜合醫院,(02)29307930,臺北市文山區興隆路３段１１１號,臺北業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,精神病患者居家照護,胸部低劑量電腦斷層檢查,精神科日間住院治療,腹膜透析業務,結核病","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,牙體復形科,牙髓病科,牙周病科,贋復補綴牙科,齒顎矯正科,兒童牙科,口腔顎面外科,口腔病理科,家庭牙醫科,中醫一般科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,提供24小時急診服務,63000,19970114
1302050014,財團法人私立高雄醫學大學附設中和紀念醫院,綜合醫院,(07)3121101,高雄市三民區十全一路１００號,高屏業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,精神病患者居家照護,義肢業務,胸部低劑量電腦斷層檢查,精神科日間住院治療,腹膜透析業務","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,牙體復形科,牙髓病科,牙周病科,贋復補綴牙科,齒顎矯正科,兒童牙科,口腔顎面外科,口腔病理科,家庭牙醫科,中醫一般科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,急診24小時服務,64000,19950301
1303260014,中國醫藥大學兒童醫院,綜合醫院,(04)22052121,臺中市北區育德路１號、學士路９５號、學士路２號,中區業務組,醫學中心,"復健－物理治療業務,復健－職能治療業務,復健－聽力檢查業務,復健－語言治療業務,門診診療,住院診療","外科,兒科,骨科,泌尿科,眼科,精神科,復健科,整形外科,急診醫學科,兒童牙科,麻醉科,放射診斷科,解剖病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日晚上看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,急診24小時服務,66000,20141001
